sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
01242,0.339981,0.054623,0.826083,0.015401,0.100159,0.001966,0.319951
01249,0.324556,0.047317,0.84935,0.015414,0.108948,0.002098,0.33294
01267,0.685506,0.036119,0.88611,0.021185,0.11676,0.002008,0.466694
01270,0.244354,0.034449,0.890394,0.018713,0.137817,0.002035,0.244962
01299,0.384085,0.034229,0.89164,0.017648,0.122925,0.002262,0.355267
01301,0.142337,0.012384,0.960955,0.04129,0.312749,0.008374,0.19995
01320,0.142159,0.012462,0.960955,0.041401,0.307642,0.008403,0.191487
01331,0.144668,0.011901,0.962876,0.041889,0.30665,0.008252,0.162234
01345,0.077364,0.011928,0.962462,0.024131,0.119385,0.001605,0.492385
01388,0.08448,0.014601,0.953375,0.023128,0.112183,0.001592,0.444909
01393,0.190536,0.019474,0.937936,0.103884,0.635254,0.022842,0.275145
01406,0.185413,0.019172,0.939031,0.106185,0.641113,0.024234,0.28183
01413,0.184097,0.019338,0.938806,0.105776,0.640137,0.02383,0.280004
01415,0.183463,0.019382,0.938304,0.1057,0.640625,0.023733,0.27904
01422,0.192566,0.019379,0.938269,0.106253,0.643066,0.024488,0.275438
01432,0.219796,0.023387,0.925533,0.089081,0.555664,0.014798,0.407485
01437,0.267682,0.025036,0.92048,0.075122,0.496094,0.009725,0.436947
01442,0.295403,0.021641,0.931458,0.056842,0.383301,0.005196,0.485571
01443,0.29658,0.021008,0.933192,0.057281,0.37085,0.00464,0.502958
01454,0.667087,0.061863,0.802146,0.02239,0.120422,0.002595,0.354671
01462,0.669863,0.063102,0.799048,0.023126,0.125488,0.002658,0.366884
01471,0.666928,0.064008,0.795999,0.022141,0.119019,0.002548,0.341409
01482,0.672883,0.065035,0.79274,0.020857,0.113586,0.002611,0.303761
01486,0.670396,0.064029,0.796,0.022701,0.122498,0.002617,0.358036
01492,0.668254,0.058065,0.814852,0.022005,0.117722,0.00258,0.32798
01494,0.184341,0.007364,0.977091,0.060017,0.349856,0.005589,0.225745
01505,0.163654,0.008432,0.973391,0.064528,0.371338,0.005747,0.244156
01511,0.159305,0.008538,0.973206,0.064644,0.359377,0.005505,0.256002
01527,0.160735,0.007783,0.975591,0.063195,0.344971,0.005281,0.233587
01531,0.094591,0.010947,0.96556,0.023573,0.119629,0.001827,0.497607
01547,0.096303,0.011402,0.964032,0.024731,0.124207,0.001846,0.532309
01562,0.098566,0.011317,0.964122,0.02491,0.124451,0.00183,0.548128
01579,0.096636,0.011574,0.963369,0.026057,0.130737,0.00191,0.573483
01584,0.040562,0.006009,0.981149,0.031358,0.210083,0.001976,0.463112
01587,0.035157,0.007765,0.975374,0.031978,0.219971,0.00215,0.468472
01599,0.033186,0.007344,0.977153,0.030475,0.197388,0.002417,0.441153
01608,0.035406,0.006376,0.980048,0.032505,0.220703,0.002149,0.469026
01640,0.024355,0.006379,0.980024,0.033273,0.203979,0.002295,0.453652
01659,0.023795,0.006598,0.979434,0.033802,0.211792,0.002288,0.459759
01670,0.076342,0.005858,0.981706,0.037951,0.223999,0.00235,0.370547
01673,0.037475,0.004494,0.985947,0.035803,0.20752,0.002289,0.382431
01707,0.041133,0.006043,0.981263,0.039177,0.236206,0.002767,0.387018
01710,0.166609,0.014272,0.954693,0.026817,0.150757,0.001972,0.40828
01724,0.16864,0.014135,0.954987,0.026858,0.151733,0.00199,0.407677
01729,0.169324,0.013963,0.955601,0.026625,0.149292,0.002007,0.404879
01741,0.170281,0.014037,0.95554,0.027549,0.156616,0.002005,0.423245
01760,0.178944,0.017404,0.945082,0.022562,0.131226,0.001807,0.335621
01773,0.176409,0.016564,0.947605,0.023072,0.136353,0.001815,0.360959
01779,0.174598,0.016514,0.947511,0.023159,0.137817,0.001817,0.362123
01783,0.173662,0.01641,0.948057,0.023329,0.137939,0.001821,0.366085
01789,0.17259,0.016182,0.948563,0.023419,0.13916,0.001856,0.36783
01803,0.053686,0.009801,0.97054,0.021099,0.172729,7.8e-05,0.410827
01806,0.05327,0.009054,0.972955,0.022096,0.178101,7.8e-05,0.430963
01807,0.052162,0.01011,0.969794,0.021769,0.170532,9.2e-05,0.434278
01811,0.055147,0.008053,0.975696,0.021889,0.178955,7.8e-05,0.422766
01828,0.061857,0.011831,0.964517,0.021072,0.158936,0.000206,0.422991
01845,0.135859,0.010454,0.96691,0.022308,0.12915,0.0019,0.530404
01856,0.136697,0.010586,0.966437,0.02365,0.144653,0.001998,0.57067
01861,0.14256,0.010716,0.965945,0.023445,0.141724,0.001972,0.545181
01867,0.081447,0.00811,0.974585,0.024001,0.134521,0.001311,0.49788
01899,0.085166,0.008347,0.973657,0.023108,0.128296,0.001308,0.476812
01911,0.086282,0.008778,0.972167,0.022585,0.126343,0.001307,0.469507
01912,0.224488,0.025817,0.916071,0.026672,0.112427,0.004964,0.441144
01913,0.207971,0.022911,0.927161,0.027682,0.121704,0.00508,0.460196
01919,0.200511,0.022606,0.928554,0.026925,0.113159,0.005009,0.455414
01929,0.197856,0.023078,0.925098,0.027579,0.113586,0.004973,0.447806
01937,0.063305,0.007639,0.976617,0.036348,0.184448,0.001963,0.36099
01947,0.063603,0.00734,0.977304,0.037165,0.187378,0.00201,0.367953
01954,0.062942,0.007585,0.976864,0.037861,0.188354,0.002018,0.376963
01963,0.061501,0.007384,0.977174,0.038176,0.19043,0.002032,0.376209
01977,0.020684,0.002596,0.9921,0.037394,0.196167,0.001831,0.487612
01981,0.020709,0.003047,0.990678,0.037512,0.199341,0.001972,0.481927
01985,0.032404,0.006783,0.978748,0.028259,0.168823,0.002131,0.485164
01994,0.212529,0.014076,0.955143,0.027019,0.209473,0.002117,0.268215
01996,0.220293,0.012832,0.959203,0.025378,0.195923,0.001918,0.262264
02002,0.190634,0.010504,0.966924,0.022456,0.178345,0.001994,0.236374
02011,0.17021,0.011805,0.96269,0.021087,0.166382,0.001996,0.205412
02033,0.201151,0.011887,0.962486,0.022377,0.16748,0.002154,0.225489
02045,0.125183,0.019141,0.938986,0.031469,0.237183,0.002471,0.359849
02073,0.118958,0.016876,0.946182,0.033935,0.254883,0.002527,0.364476
02083,0.122684,0.016136,0.948714,0.035064,0.259521,0.002527,0.363391
02090,0.118611,0.015811,0.949524,0.036314,0.269211,0.002612,0.386478
02102,0.306525,0.016105,0.94927,0.023154,0.224365,0.002084,0.250086
02119,0.288936,0.013322,0.957957,0.024961,0.268066,0.002402,0.224612
02120,0.419495,0.01381,0.955732,0.030637,0.231934,0.002446,0.434356
02142,0.238659,0.022498,0.928506,0.029476,0.264404,0.002374,0.335154
02163,0.077043,0.008357,0.973773,0.022728,0.174072,0.001708,0.274189
02180,0.071106,0.007393,0.976593,0.030447,0.223389,0.001846,0.410785
02195,0.078498,0.006803,0.978536,0.032313,0.242074,0.002062,0.412806
02213,0.071477,0.007867,0.975203,0.036048,0.30835,0.002766,0.403031
02233,0.123033,0.008253,0.973729,0.024567,0.201172,0.002099,0.358757
02236,0.090133,0.00663,0.979019,0.023929,0.172485,0.002139,0.331744
02249,0.12365,0.012023,0.962039,0.02392,0.195923,0.001696,0.254407
02278,0.093561,0.008816,0.97179,0.028677,0.220703,0.001973,0.391729
02296,0.113057,0.009248,0.970709,0.030966,0.23938,0.00282,0.412409
02310,0.168814,0.011204,0.964536,0.026191,0.20813,0.002047,0.348627
02317,0.14738,0.009162,0.970847,0.030865,0.270508,0.002642,0.38992
02322,0.163505,0.012513,0.960335,0.028088,0.2854,0.00257,0.297919
02337,0.170643,0.009007,0.97146,0.022922,0.205933,0.002028,0.1951
02352,0.221447,0.012244,0.96102,0.01987,0.142212,0.001932,0.220911
02369,0.173808,0.012269,0.961472,0.025028,0.223999,0.002206,0.274955
02394,0.213053,0.005818,0.981471,0.02017,0.173828,0.002155,0.26275
02405,0.148423,0.011002,0.964831,0.018031,0.114197,0.001511,0.190343
02440,0.095338,0.012923,0.958604,0.021019,0.136597,0.001513,0.278966
02450,0.114629,0.009375,0.970128,0.023292,0.172729,0.001542,0.289496
02455,0.107508,0.007857,0.975129,0.025867,0.211792,0.002116,0.310691
02464,0.088649,0.008882,0.971976,0.027119,0.210815,0.002295,0.350036
02473,0.099216,0.008713,0.972103,0.030437,0.234741,0.002431,0.343883
02478,0.075288,0.009881,0.968705,0.031313,0.344238,0.00521,0.312701
02486,0.06201,0.009374,0.970355,0.025231,0.19165,0.002313,0.400092
02495,0.064408,0.008601,0.97295,0.024043,0.175179,0.001761,0.345938
02522,0.127514,0.010942,0.965412,0.024542,0.177856,0.001792,0.260025
02527,0.25377,0.023924,0.923777,0.041287,0.311523,0.002548,0.264542
02530,0.275535,0.018268,0.943624,0.029305,0.186279,0.001846,0.34434
02533,0.029734,0.006148,0.98044,0.028026,0.160278,0.001413,0.329797
02544,0.531851,0.052173,0.833398,0.015706,0.129639,0.002796,0.382764
02556,0.073952,0.00992,0.968849,0.021432,0.110783,0.001467,0.321845
02572,0.094076,0.00851,0.973391,0.019861,0.112427,0.001793,0.337434
02606,0.180667,0.004917,0.984488,0.024302,0.192505,0.002083,0.33554
02611,0.158413,0.009985,0.968086,0.023749,0.169922,0.001579,0.343808
02624,0.172273,0.008883,0.9716,0.030177,0.279297,0.003429,0.233187
02641,0.318817,0.043698,0.859976,0.023193,0.150269,0.004444,0.384804
02651,0.064089,0.007282,0.977988,0.022572,0.188354,0.004353,0.334405
02658,0.081593,0.0088,0.972634,0.027467,0.320562,0.005305,0.3795
02667,0.262009,0.006437,0.979818,0.023662,0.117981,0.000632,0.311654
02709,0.17098,0.007829,0.975258,0.042963,0.359131,0.004169,0.367421
02720,0.152453,0.016939,0.946143,0.028594,0.217285,0.002249,0.311358
02731,0.149877,0.017777,0.943553,0.026385,0.189209,0.001597,0.296797
